word,id,property,object,sparql,sparql
australian,71,country,Australia,SELECT DISTINCT ?uri WHERE { ?uri dbo:type res:Nonprofit_organization { ?uri dbo:locationCountry res:Australia } UNION { ?uri dbo:location ?x . ?x dbo:country res:Australia } },Give me all Australian nonprofit organizations.
,101,country,Australia,"SELECT DISTINCT ?uri WHERE { ?uri a dbo:Band , dbo:genre res:Metalcore { ?uri dbo:hometown res:Australia } UNION { ?uri dbo:hometown ?h . ?h dbo:country res:Australia } }",Give me all Australian metalcore bands.
,101,hometown,Australia,"SELECT DISTINCT ?uri WHERE { ?uri a dbo:Band , dbo:genre res:Metalcore { ?uri dbo:hometown res:Australia } UNION { ?uri dbo:hometown ?h . ?h dbo:country res:Australia } }",Give me all Australian metalcore bands.
canadian,394,country,Canada,"SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:RecordLabel , dbo:genre res:Grunge , dbo:country res:Canada }",Give me all Canadian Grunge record labels.
danish,11,country,Denmark,"SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Film , dbo:country res:Denmark }",Give me all Danish films.
,51,country,Denmark,"SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Film> , <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Denmark> }",Give me all Danish movies.
first ,158,seasonNumber,1,"SELECT DISTINCT ?uri WHERE { ?uri dbo:series res:The_Sopranos , dbo:seasonNumber 1 }",List all episodes of the first season of the HBO television series The Sopranos!
,331,seasonNumber,1,"SELECT DISTINCT ?uri WHERE { ?uri dbo:series res:The_Sopranos , dbo:seasonNumber 1 }",List all episodes of the first season of the HBO television series The Sopranos.
german,17,birthPlace,Germany,"SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Monarch , dbo:spouse ?spouse { ?spouse dbo:birthPlace res:Germany } UNION { ?spouse dbo:birthPlace ?p . ?p dbo:country res:Germany } }",Which monarchs were married to a German?
,57,country,Germany,"SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/River> . ?x <http://dbpedia.org/ontology/inflow> ?uri , a <http://dbpedia.org/ontology/Lake> , <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Germany> }",Which rivers flow into a German lake?
greek,163,country,Greece,"SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/PoliticalParty> , <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Greece> , <http://dbpedia.org/ontology/ideology> <http://dbpedia.org/resource/Pro-Europeanism> }",Which Greek parties are pro-European?
indian,269,location,India,"SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Company , dbo:location res:India , dbo:numberOfEmployees ?n } ORDER BY DESC(?n) OFFSET 0 LIMIT 1",Which Indian company has the most employees?
methodist,118,religion,Methodism,"SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Politician> , <http://dbpedia.org/ontology/religion> <http://dbpedia.org/resource/Methodism> }",Give me all Methodist politicians.
non-profit_organization,42,type,Nonprofit_organization,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/type> <http://dbpedia.org/resource/Nonprofit_organization> { ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Switzerland> } UNION { ?uri <http://dbpedia.org/ontology/location> ?x . ?x <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Switzerland> } },Give me all Swiss non-profit organizations.
,71,type,Nonprofit_organization,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/type> <http://dbpedia.org/resource/Nonprofit_organization> { ?uri <http://dbpedia.org/ontology/locationCountry> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/location> ?x . ?x <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } },Give me all Australian nonprofit organizations.
pro-european,163,ideology,Pro-Europeanism,"SELECT DISTINCT ?uri WHERE { ?uri a dbo:PoliticalParty , dbo:country res:Greece , dbo:ideology res:Pro-Europeanism }",Which Greek parties are pro-European?
spanish,345,country,Spain,"SELECT DISTINCT ?uri WHERE { ?film rdf:type dbo:Film , dbo:country res:Spain , dbo:producer res:Benicio_del_Toro , dbo:starring ?uri . ?uri rdf:type dbo:Person }",Who is starring in Spanish movies produced by Benicio del Toro?
swedish,94,country,Sweden,"SELECT DISTINCT ?uri WHERE { ?uri a dbo:Holiday , dbo:country res:Sweden }",Give me all Swedish holidays.
,403,birthPlace,Sweden,"SELECT DISTINCT ?uri WHERE { ?uri dbo:field res:Oceanography , dbo:birthPlace res:Sweden }",Give me all Swedish oceanographers.
swiss,42,location,Switzerland,SELECT DISTINCT ?uri WHERE { ?uri dbo:type res:Nonprofit_organization { ?uri dbo:location res:Switzerland } UNION { ?uri dbo:location ?x . ?x dbo:country res:Switzerland } },Give me all Swiss non-profit organizations.
