Interestingness,Coherence,Coherence,Coherence,Coherence,AllConf,AllConf,AllConf,AllConf,IR,IR,IR,IR,Kulczynski,Kulczynski,Kulczynski,Kulczynski
Thresold,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Parts-of-speech,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ,JJ
Evaluation,MRR,Hits1,Hits5,Hits10,MRR,Hits1,Hits5,Hits10,MRR,Hits1,Hits5,Hits10,MRR,Hits1,Hits5,Hits10
[5]_5-numRule_300000-supA_5.0-supB_5.0-condAB_0.05-condBA_0.05,0.00312358,0,0,0,0.00283525,0,0,0,0.02,0,0.1,0.1,0.00625,0,0,0
[5]_5-numRule_300000-supA_5.0-supB_5.0-condAB_0.05-condBA_0.1,0.00312358,0,0,0,0.00283525,0,0,0,0.025,0,0.1,0.1,0.00588236,0,0,0
[5]_5-numRule_300000-supA_5.0-supB_5.0-condAB_0.1-condBA_0.05,0.00312358,0,0,0,0.00283525,0,0,0,0.095,0.05,0.2,0.2,0.03388889,0,0.05,0.05
[5]_5-numRule_300000-supA_5.0-supB_5.0-condAB_0.1-condBA_0.1,0.00312358,0,0,0,0.00283525,0,0,0,0.04166667,0,0.15,0.15,0.00787879,0,0,0
[5]_5-numRule_300000-supA_5.0-supB_50.0-condAB_0.05-condBA_0.05,0.02718331,0,0.1,0.1,0.02442693,0,0,0,0.08005953,0.05,0.05,0.25,0.06884921,0.05,0.05,0.15
[5]_5-numRule_300000-supA_5.0-supB_50.0-condAB_0.05-condBA_0.1,0.02718331,0,0.1,0.1,0.02442693,0,0,0,0.05388279,0,0.1,0.2,0.06525073,0,0.1,0.2
[5]_5-numRule_300000-supA_5.0-supB_50.0-condAB_0.1-condBA_0.05,0.02718331,0,0.1,0.1,0.02442693,0,0,0,0.13039291,0.05,0.2,0.4,0.11046919,0,0.2,0.3
[5]_5-numRule_300000-supA_5.0-supB_50.0-condAB_0.1-condBA_0.1,0.02718331,0,0.1,0.1,0.02442693,0,0,0,0.05349674,0,0.1,0.2,0.06458993,0,0.1,0.2
[5]_5-numRule_300000-supA_50.0-supB_5.0-condAB_0.05-condBA_0.05,0.0175,0,0.05,0.05,0.0133772,0,0.05,0.05,0.00728021,0,0,0,0.05144139,0.05,0.05,0.05
[5]_5-numRule_300000-supA_50.0-supB_5.0-condAB_0.05-condBA_0.1,0.0175,0,0.05,0.05,0.0133772,0,0.05,0.05,0.00227323,0,0,0,0.05048544,0.05,0.05,0.05
[5]_5-numRule_300000-supA_50.0-supB_5.0-condAB_0.1-condBA_0.05,0.0175,0,0.05,0.05,0.0133772,0,0.05,0.05,0.01243323,0,0,0.1,0.05161089,0.05,0.05,0.05
[5]_5-numRule_300000-supA_50.0-supB_5.0-condAB_0.1-condBA_0.1,0.0175,0,0.05,0.05,0.0133772,0,0.05,0.05,0.00693494,0,0,0.05,0.05068494,0.05,0.05,0.05
[5]_5-numRule_300000-supA_50.0-supB_50.0-condAB_0.05-condBA_0.05,0.01762821,0,0.05,0.05,0.02056939,0,0.05,0.05,0.02405798,0,0.05,0.1,0.05263318,0.05,0.05,0.05
[5]_5-numRule_300000-supA_50.0-supB_50.0-condAB_0.05-condBA_0.1,0.01762821,0,0.05,0.05,0.02056939,0,0.05,0.05,0.01896913,0,0.05,0.05,0.05283217,0.05,0.05,0.05
[5]_5-numRule_300000-supA_50.0-supB_50.0-condAB_0.1-condBA_0.05,0.01762821,0,0.05,0.05,0.02056939,0,0.05,0.05,0.02459419,0,0.05,0.1,0.05263318,0.05,0.05,0.05
[5]_5-numRule_300000-supA_50.0-supB_50.0-condAB_0.1-condBA_0.1,0.01762821,0,0.05,0.05,0.02056939,0,0.05,0.05,0.01994872,0,0.05,0.05,0.05354067,0.05,0.05,0.05
Maximum,0.02718331,0,0.1,0.1,0.02442693,0,0.05,0.05,0.13039291,0.05,0.2,0.4,0.11046919,0.05,0.2,0.3
